"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.177.26.176",50629,"41.177.202.202",53,2,291,1,94,1,197,163.376455,0.00013699999999516876,0,0
"41.177.26.176",50630,"41.177.202.202",53,2,291,1,94,1,197,163.377322,0.00012900000001536682,0,0
"41.177.26.176",50631,"41.177.202.202",53,2,407,1,90,1,317,163.404627,0.0001770000000078653,0,0
"41.177.26.176",50632,"41.177.202.202",53,2,392,1,99,1,293,163.405241,0.00015200000001414082,0,0
"41.177.26.176",50633,"41.177.202.202",53,2,392,1,99,1,293,163.406106,0.00015000000001919034,0,0
"41.177.26.176",50634,"41.177.202.202",53,2,407,1,90,1,317,163.55311,0.00018499999998766725,0,0
"41.177.26.176",50635,"41.177.202.202",53,2,392,1,99,1,293,163.553758,0.06265000000001919,12641.66001595782,37414.20590581456
"41.177.26.176",50636,"41.177.202.202",53,2,392,1,99,1,293,163.617335,0.00014799999999581814,0,0
"41.177.26.176",50637,"41.177.202.202",53,2,407,1,90,1,317,163.690712,0.0001699999999971169,0,0
"41.177.26.176",50638,"41.177.202.202",53,2,392,1,99,1,293,163.69148,0.00015699999997309533,0,0
"41.177.26.176",50639,"41.177.202.202",53,2,392,1,99,1,293,163.692395,0.00014300000000844193,0,0
"41.177.26.176",50669,"41.177.202.202",53,2,319,1,87,1,232,164.662308,0.00015700000000151704,0,0
"41.177.26.176",50670,"41.177.202.202",53,2,319,1,87,1,232,164.662957,0.00013899999999011925,0,0
"41.177.26.176",50671,"41.177.202.202",53,2,319,1,87,1,232,164.663886,0.0001330000000052678,0,0
"41.177.26.176",50672,"41.177.202.202",53,2,319,1,87,1,232,164.679508,0.00014500000000339242,0,0
"41.177.26.176",50673,"41.177.202.202",53,2,346,1,90,1,256,164.682925,0.00014600000000086766,0,0
"41.177.26.176",50674,"41.177.202.202",53,2,319,1,87,1,232,164.683516,0.0001420000000109667,0,0
"41.177.26.176",50675,"41.177.202.202",53,2,319,1,87,1,232,164.684424,0.00013500000000021828,0,0
"41.177.26.176",50676,"41.177.202.202",53,2,319,1,87,1,232,164.690063,0.00013400000000274304,0,0
"41.177.26.176",50677,"41.177.202.202",53,2,346,1,90,1,256,164.693024,0.00015099999998824387,0,0
"41.177.26.176",50678,"41.177.202.202",53,2,319,1,87,1,232,164.693601,0.00013500000000021828,0,0
"41.177.26.176",50679,"41.177.202.202",53,2,319,1,87,1,232,164.694463,0.00014299999998002022,0,0
"41.177.26.176",50680,"41.177.202.202",53,2,319,1,87,1,232,164.69821,0.0001420000000109667,0,0
"41.177.26.176",50681,"41.177.202.202",53,2,346,1,90,1,256,164.701322,0.00014600000000086766,0,0
"41.177.26.176",50682,"41.177.202.202",53,2,319,1,87,1,232,164.701884,0.00013699999999516876,0,0
"41.177.26.176",50683,"41.177.202.202",53,2,319,1,87,1,232,164.702726,0.00013699999999516876,0,0
"41.177.26.176",50684,"41.177.202.202",53,2,319,1,87,1,232,164.708335,0.00012699999999199463,0,0
"41.177.26.176",50685,"41.177.202.202",53,2,346,1,90,1,256,164.712001,0.00013400000000274304,0,0
"41.177.26.176",50686,"41.177.202.202",53,2,319,1,87,1,232,164.712485,0.0001239999999995689,0,0
"41.177.26.176",50687,"41.177.202.202",53,2,319,1,87,1,232,164.713297,0.00011899999998377098,0,0
"41.177.26.176",50688,"41.177.202.202",53,2,407,1,90,1,317,164.729568,0.0001650000000097407,0,0
"41.177.26.176",50689,"41.177.202.202",53,2,392,1,99,1,293,164.730141,0.00015199999998571911,0,0
"41.177.26.176",50690,"41.177.202.202",53,2,392,1,99,1,293,164.731059,0.00016000000002236447,0,0
"41.177.26.176",50691,"41.177.202.202",53,2,407,1,90,1,317,164.86951,0.00016700000000469117,0,0
"41.177.26.176",50692,"41.177.202.202",53,2,392,1,99,1,293,164.87016,0.00014899999999329339,0,0
"41.177.26.176",50693,"41.177.202.202",53,2,392,1,99,1,293,164.871063,0.00014799999999581814,0,0
"41.177.26.176",50694,"41.177.202.202",53,2,357,1,92,1,265,164.914395,0.00016199999998889325,0,0
"41.177.26.176",50695,"41.177.202.202",53,2,291,1,94,1,197,164.914984,0.00013699999999516876,0,0
"41.177.26.176",50696,"41.177.202.202",53,2,291,1,94,1,197,164.915844,0.00012599999999451938,0,0
"41.177.26.176",50697,"41.177.202.202",53,2,407,1,90,1,317,165.002149,0.00016700000000469117,0,0
"41.177.26.176",50698,"41.177.202.202",53,2,392,1,99,1,293,165.002849,0.00014600000000086766,0,0
"41.177.26.176",50699,"41.177.202.202",53,2,392,1,99,1,293,165.003782,0.00014099999998506973,0,0
"41.177.26.176",50700,"41.177.202.202",53,2,397,1,90,1,307,165.028754,0.00017099999999459214,0,0
"41.177.26.176",50701,"41.177.202.202",53,2,371,1,88,1,283,165.029419,0.00014500000000339242,0,0
"41.177.26.176",50702,"41.177.202.202",53,2,371,1,88,1,283,165.030609,0.00017299999998954263,0,0
"41.177.26.176",50703,"41.177.202.202",53,2,319,1,87,1,232,165.04791,0.00017600000001039007,0,0
"41.177.26.176",50704,"41.177.202.202",53,2,346,1,90,1,256,165.075943,0.00014600000000086766,0,0
"41.177.26.176",50705,"41.177.202.202",53,2,319,1,87,1,232,165.07719,0.00013599999999769352,0,0
"41.177.26.176",50706,"41.177.202.202",53,2,319,1,87,1,232,165.078301,0.00013500000000021828,0,0
"41.177.26.176",50707,"41.177.202.202",53,2,319,1,87,1,232,165.09402,0.00015099999998824387,0,0
"41.177.26.176",50708,"41.177.202.202",53,2,346,1,90,1,256,165.096766,0.00014799999999581814,0,0
"41.177.26.176",50709,"41.177.202.202",53,2,319,1,87,1,232,165.097265,0.00014799999999581814,0,0
"41.177.26.176",50710,"41.177.202.202",53,2,319,1,87,1,232,165.098175,0.0001420000000109667,0,0
"41.177.26.176",50711,"41.177.202.202",53,2,319,1,87,1,232,165.103482,0.00014799999999581814,0,0
"41.177.26.176",50712,"41.177.202.202",53,2,346,1,90,1,256,165.105859,0.00014899999999329339,0,0
"41.177.26.176",50713,"41.177.202.202",53,2,319,1,87,1,232,165.10639,0.000137999999992644,0,0
"41.177.26.176",50714,"41.177.202.202",53,2,319,1,87,1,232,165.107432,0.00013400000000274304,0,0
"41.177.26.176",50715,"41.177.202.202",53,2,367,1,89,1,278,165.257439,0.0002000000000066393,0,0
"41.177.26.176",50716,"41.177.202.202",53,2,351,1,96,1,255,165.258239,0.00014500000000339242,0,0
"41.177.26.176",50717,"41.177.202.202",53,2,351,1,96,1,255,165.259234,0.00013699999999516876,0,0
"41.177.26.176",50718,"41.177.202.202",53,2,407,1,90,1,317,165.279473,0.00015700000000151704,0,0
"41.177.26.176",50719,"41.177.202.202",53,2,392,1,99,1,293,165.280083,0.00012800000001789158,0,0
"41.177.26.176",50720,"41.177.202.202",53,2,392,1,99,1,293,165.281373,0.0001540000000090913,0,0
"41.177.26.176",50721,"41.177.202.202",53,2,319,1,87,1,232,165.384935,0.00014799999999581814,0,0
"41.177.26.176",50722,"41.177.202.202",53,2,346,1,90,1,256,165.415721,0.00015100000001666558,0,0
"41.177.26.176",50723,"41.177.202.202",53,2,319,1,87,1,232,165.416279,0.00012699999999199463,0,0
"41.177.26.176",50724,"41.177.202.202",53,2,319,1,87,1,232,165.417431,0.00013599999999769352,0,0
"41.177.26.176",50725,"41.177.202.202",53,2,319,1,87,1,232,165.456577,0.00014199999998254498,0,0
"41.177.26.176",50726,"41.177.202.202",53,2,346,1,90,1,256,165.461303,0.0001420000000109667,0,0
"41.177.26.176",50727,"41.177.202.202",53,2,319,1,87,1,232,165.461877,0.00013400000000274304,0,0
"41.177.26.176",50728,"41.177.202.202",53,2,319,1,87,1,232,165.462821,0.00013400000000274304,0,0
"41.177.26.176",50729,"41.177.202.202",53,2,319,1,87,1,232,165.471092,0.00015500000000656655,0,0
"41.177.26.176",50730,"41.177.202.202",53,2,346,1,90,1,256,165.474164,0.00015999999999394277,0,0
"41.177.26.176",50731,"41.177.202.202",53,2,319,1,87,1,232,165.474779,0.00013500000000021828,0,0
"41.177.26.176",50732,"41.177.202.202",53,2,319,1,87,1,232,165.475697,0.00013500000000021828,0,0
"41.177.26.176",50733,"41.177.202.202",53,2,407,1,90,1,317,165.486085,0.00017299999998954263,0,0
"41.177.26.176",50734,"41.177.202.202",53,2,392,1,99,1,293,165.486715,0.00015299999998319436,0,0
"41.177.26.176",50735,"41.177.202.202",53,2,392,1,99,1,293,165.48771,0.0001469999999983429,0,0
"41.177.26.176",50736,"41.177.202.202",53,2,407,1,90,1,317,165.55968,0.00014500000000339242,0,0
"41.177.26.176",50737,"41.177.202.202",53,2,392,1,99,1,293,165.560242,0.00022800000002121124,0,0
"41.177.26.176",50738,"41.177.202.202",53,2,392,1,99,1,293,165.561256,0.00014100000001349144,0,0
